category,n,acceptance_rate_pooled,acceptance_rate,mean_accept_length,forward_steps,gen_tokens,spec_tok_s
code_sql,100,0.5060512577123872,0.5060512577123872,2.518153773137162,8428.0,21170,3729.3518090850007
ood_legal,30,0.3987533692722372,0.3987533692722372,2.1962601078167117,5936.0,13031,2057.0250199830093
ood_financial,100,0.3848935201002164,0.3848935201002164,2.1546805603006494,23416.0,50455,3868.910153503691
ood_medical,100,0.35150078988941547,0.35150078988941547,2.0545023696682465,24898.0,51164,3661.702847262425
