category,n,acceptance_rate_pooled,acceptance_rate,mean_accept_length,forward_steps,gen_tokens,spec_tok_s
code_sql,100,0.24968455429377273,0.24968455429377273,4.745268314406591,4491.0,21229,2675.227666726118
ood_legal,30,0.1408080325125508,0.1408080325125508,3.112120487688262,4183.0,12997,1409.8143023060015
ood_financial,100,0.11963856967430948,0.11963856967430948,2.7945785451146423,18187.0,50730,1872.0787415192249
ood_medical,100,0.1127383516310343,0.1127383516310343,2.6910752744655144,19037.0,51151,1812.0193514388213
