category,n,acceptance_rate_pooled,acceptance_rate,mean_accept_length,forward_steps,gen_tokens,spec_tok_s
ood_ascii_art,2,0.8163672654690619,0.8163672654690619,3.4491017964071857,167.0,576,285.20758416600665
code_rust,1,0.5418803418803418,0.5418803418803418,2.6256410256410256,195.0,512,174.21600878649252
task_email_writing,19,0.49353378596831554,0.49353378596831554,2.4806013579049466,2062.0,5124,1228.468161259498
task_math_reasoning,26,0.4583915386150469,0.4583915386150469,2.3751746158451406,5011.0,11894,1748.6420133453662
lang_swahili,11,0.44795373665480426,0.44795373665480426,2.3438612099644125,2248.0,5266,930.9424607416838
ood_legal,8,0.4134212103055722,0.4134212103055722,2.2402636309167168,1669.0,3735,771.9488851195633
task_logic_reasoning,3,0.41217948717948716,0.41217948717948716,2.2365384615384616,520.0,1160,282.23772679007715
task_summarization,100,0.41043568330420144,0.41043568330420144,2.2313070499126044,10298.0,22939,1964.3389281652624
ood_customer_support,5,0.40560949298813376,0.40560949298813376,2.216828478964401,927.0,2052,432.5159801823584
lang_english,100,0.3995055187637969,0.3995055187637969,2.1985165562913904,18875.0,41491,3646.66666640592
task_json_extraction,2,0.39624724061810157,0.39624724061810157,2.1887417218543046,302.0,662,222.60948471141876
task_question_answering,100,0.39488076257093385,0.39488076257093385,2.1846422877128013,19443.0,42472,4231.47290918099
ood_financial,40,0.39214686384497704,0.39214686384497704,2.176440591534931,7844.0,17069,2141.4341910850417
code_javascript,48,0.3885092157036774,0.3885092157036774,2.1655276471110323,11267.0,24397,2421.399080039317
task_creative_writing,100,0.3806421523617973,0.3806421523617973,2.141926457085392,22871.0,48979,4003.085567141724
task_roleplay_chat,100,0.37997925108148844,0.37997925108148844,2.1399377532444652,17029.0,36448,3003.9735019111586
task_tabular_data,13,0.37617220801364026,0.37617220801364026,2.1285166240409206,3128.0,6656,969.7382660801461
ood_medical,23,0.37544967974028254,0.37544967974028254,2.1263490392208473,3799.0,8075,1316.1330972278581
code_python,39,0.35088081475364713,0.35088081475364713,2.0526424442609414,9688.0,19884,1820.231008626087
ood_shell,19,0.34873513686058577,0.34873513686058577,2.0462054105817575,4177.0,8548,1389.234722460186
code_sql,10,0.34496590453269155,0.34496590453269155,2.034897713598075,2493.0,5073,840.638277803302
code_go,1,0.3438735177865613,0.3438735177865613,2.0316205533596836,253.0,512,128.5599578737542
code_java,3,0.3342025206431986,0.3342025206431986,2.0026075619295955,767.0,1536,335.5891043021795
ood_chemistry,17,0.32350618583837853,0.32350618583837853,1.9705185575151356,3799.0,7485,1251.249271260975
code_kotlin,3,0.31260229132569556,0.31260229132569556,1.9378068739770868,611.0,1183,294.7809544088571
code_c,15,0.31174395161290325,0.31174395161290325,1.9352318548387095,3968.0,7680,932.2699692281142
ood_regex,5,0.2931667891256429,0.2931667891256429,1.8795003673769286,1361.0,2560,491.5567737318888
code_cpp,8,0.2917238225880201,0.2917238225880201,1.8751714677640603,2187.0,4096,572.1034244045212
code_typescript,7,0.29021913415285944,0.29021913415285944,1.8706574024585783,1871.0,3499,528.357442950634
code_r,2,0.2889294403892944,0.2889294403892944,1.866788321167883,548.0,1024,190.26401343497457
ood_poetry,2,0.25609756097560976,0.25609756097560976,1.7682926829268293,164.0,290,191.16513732623997
lang_spanish,100,0.24203892699793653,0.24203892699793653,1.7261167809938096,23908.0,41263,2829.8534175350014
task_translation,81,0.2194459370708699,0.2194459370708699,1.6583378112126097,11166.0,18497,1555.1701182915167
lang_french,100,0.21450885546569926,0.21450885546569926,1.6435265663970977,26462.0,43493,2892.7938688027175
lang_italian,95,0.20069707024718986,0.20069707024718986,1.6020912107415697,25918.0,41526,2864.3622055706574
lang_portuguese,100,0.17492548234711774,0.17492548234711774,1.5247764470413534,30977.0,47252,2844.088290682729
lang_turkish,76,0.17194494095360313,0.17194494095360313,1.5158348228608094,21819.0,33104,2420.5984817286
lang_polish,70,0.16447727160065434,0.16447727160065434,1.493431814801963,20173.0,30147,2388.0092973935048
lang_german,100,0.1619739918949518,0.1619739918949518,1.4859219756848554,31503.0,46824,2672.540230962571
lang_vietnamese,58,0.13641533663547972,0.13641533663547972,1.4092460099064392,18170.0,25614,2104.6972046754163
lang_chinese,100,0.12097854230528854,0.12097854230528854,1.3629356269158657,33601.0,45823,2466.2506753032335
lang_japanese,37,0.11864505767265295,0.11864505767265295,1.3559351730179587,11415.0,15477,1309.6182082332418
lang_russian,100,0.10424362555185152,0.10424362555185152,1.3127308766555545,33297.0,43748,2434.9043232856734
lang_korean,9,0.09372453137734311,0.09372453137734311,1.2811735941320292,3272.0,4200,609.0821537287511
lang_arabic,57,0.058221462859002523,0.058221462859002523,1.1746643885770076,20485.0,24082,1837.0720937206056
